Gene,aboral1,aboral2,aboral3,aboral4,oral1,oral2,oral3,oral4
ML001527a,1,1,4,0,56,135,135,114
ML00152a,411,411,473,428,446,449,329,366
ML00153a,197,143,181,123,165,175,130,168
ML00154a,7,6,1,4,73,18,22,21
ML00155a,967,805,771,821,1066,789,753,805
ML00156a,386,402,459,370,265,290,276,320
ML00157a,8,10,7,4,36,3,12,26
ML00158a,1201,1126,1214,948,1145,920,922,925
ML00159a,0,0,0,0,0,0,0,0
ML00161a,16,27,76,55,44,25,48,11
ML00171a,171,147,174,174,253,147,108,146
ML00172a,967,979,984,996,799,793,714,771
ML00173a,2,3,1,1,91,34,43,43
ML00174a,0,0,2,0,0,0,0,0
ML00175a,58,83,60,98,29,67,58,43
ML00181a,31,34,57,47,70,48,78,50
ML001910a,158,125,172,93,89,90,70,101
ML001911a,1130,1002,979,880,632,809,661,714
ML001912a,230,221,186,188,143,175,183,247
ML001913a,0,0,0,0,0,0,0,0
ML001914a,0,0,0,0,1,0,0,0
ML001915a,25,26,19,27,7,9,13,18
ML001916a,249,236,258,208,348,132,203,199
ML001917a,0,0,0,0,0,0,0,0
ML001918a,0,0,0,0,0,0,0,0
ML001919a,629,531,643,515,782,550,455,454
ML00191a,11,9,11,21,164,47,128,68
ML001920a,1374,582,650,527,853,668,433,714
ML001921a,343,355,425,284,456,366,256,225
ML001922a,0,0,0,0,0,0,0,0
ML00192a,0,0,569,1,3,3,22,1
ML00193a,23,42,47,14,26,31,18,38
ML00194a,710,541,937,657,42,48,45,53
ML00195a,134,176,192,150,238,170,105,133
ML00196a,19,27,62,31,11,13,32,8
ML00197a,7,1,35,23,6,1,11,1
ML00198a,198,297,162,162,169,123,120,145
ML00199a,4,10,5,11,7,5,4,3
ML00201a,1,9,0,0,0,0,0,0
ML00202a,16,7,15,14,14,13,13,13
ML002110a,7,8,7,8,3,2,9,3
ML002111a,24,70,62,73,0,7,4,10
ML002112a,161,96,210,127,109,54,40,47
ML002113a,1443,190,894,191,849,821,151,588
ML002114a,5236,4618,5114,3735,2623,3779,3128,3383
ML002115a,0,0,0,0,0,0,0,0
ML002116a,2576,1719,2096,1821,2514,1670,1299,1747
ML002117a,0,0,0,0,0,0,0,0
ML002118a,240,461,348,423,138,180,230,205
ML002119a,415,417,426,422,241,357,321,286
ML00211a,0,0,0,1,0,0,1,0
ML002120a,1160,1705,1352,1491,1702,1130,1162,1174
ML002121a,260,334,399,329,387,357,293,255
ML002122a,361,159,294,267,339,207,187,216
ML002123a,225,253,286,325,280,187,246,179
ML002124a,200,113,190,165,184,105,80,153
ML002125a,1106,1136,1343,1023,1235,809,665,889
ML002126a,626,643,597,665,641,569,427,517
ML002127a,633,998,649,618,855,547,525,512
ML002128a,514,483,624,518,709,421,467,442
ML002129a,254,209,261,237,438,208,157,173
ML00212a,360,311,326,321,182,255,268,287
ML002130a,225,182,224,177,299,156,125,162
ML002131a,163,151,168,179,344,127,99,120
ML002132a,116,103,112,96,141,88,70,91
ML002133a,15,56,6,17,13,0,13,7
ML002134a,12,9,7,12,6,4,3,8
ML002135a,569,1168,1075,1179,498,427,441,435
ML002136a,184,174,167,157,222,147,124,149
ML002137a,242,193,241,213,151,190,109,164
ML002138a,405,383,396,368,340,304,306,274
ML002139a,8,6,30,13,11,6,5,2
ML00213a,0,0,1,3,0,0,1,0
ML002140a,232,264,261,250,200,202,177,166
ML00214a,797,905,822,790,1273,726,681,649
ML00215a,94,96,105,65,100,78,71,95
ML00216a,1,0,0,2,0,1,1,2
ML00217a,177,170,280,238,113,147,175,125
ML00218a,111,331,773,258,1447,1634,741,549
ML00219a,2847,3046,3068,3559,1570,1418,1255,1330
ML002210a,2813,2749,2857,2836,3927,2192,1883,2261
ML002211a,476,300,360,320,404,318,152,194
ML002212a,13,15,10,17,16,4,12,10
ML002213a,674,544,844,553,325,947,472,560
ML002214a,0,0,0,0,0,0,0,0
ML002215a,31,1,12,0,53,29,3,38
ML002216a,4495,5847,6716,7784,2196,2014,2193,1636
ML002217a,867,895,1233,1174,97,503,269,249
ML002218a,3,3,2,7,9,3,4,9
ML002219a,79,88,51,45,83,56,91,91
ML00221a,3274,3188,3641,4017,3411,2728,3377,2914
ML002220a,35,54,57,52,90,62,67,57
ML002221a,18,54,41,19,48,94,87,69
ML002222a,144,73,114,839,106,1219,1383,3367
ML002223a,10,2,4,6,549,213,484,180
ML002224a,775,360,392,369,461,417,293,432
ML002225a,7,2,4,5,4,2,2,1
ML002226a,238,249,236,235,205,184,162,179
ML002227a,12,17,31,26,22,37,12,6
ML002228a,109,210,204,346,200,58,187,119
ML002229a,622,221,370,162,248,337,105,294
ML00222a,14,12,22,31,19,11,33,11
ML002230a,0,0,0,0,0,0,0,0
ML002231a,0,0,0,0,0,0,0,0
ML002232a,3,1,2,1,2,6,6,5
ML002233a,544,1042,918,658,688,435,570,617
ML002234a,66,30,55,10,15,48,12,39
ML002235a,7,19,7,6,14,13,9,14
ML002236a,1301,809,984,757,498,777,445,528
ML002237a,815,877,731,439,550,748,334,356
ML002238a,0,0,0,0,0,0,0,0
ML002239a,9,74,31,28,6,15,24,2
ML00223a,0,1,4,3,3,8,7,6
ML002240a,15,29,7,2,17,18,2,9
ML002241a,0,6,1,1,1,3,0,2
ML002242a,36,14,18,9,15,37,12,15
ML00224a,9,16,10,4,3,8,1,10
ML00225a,643,960,957,938,815,597,519,617
ML00226a,233,309,324,354,116,169,196,203
ML00227a,466,592,531,328,137,141,161,223
ML00228a,363,439,473,305,415,358,211,317
ML00229a,59,148,127,94,277,296,423,225
ML00231a,166,143,211,161,141,87,99,104
ML00232a,979,1363,1410,1562,626,733,580,621
ML00233a,1279,1179,1390,1532,716,668,490,718
ML002510a,1,3,3,2,2,1,8,2
ML002511a,51,56,55,50,26,44,55,68
ML00251a,18,8,6,4,12,5,3,11
ML00252a,1554,1073,1069,898,835,1084,814,887
ML00253a,0,0,0,0,0,0,0,0
ML00254a,693,769,628,517,453,502,468,522
ML00255a,3,6,3,7,1,1,5,3
ML00256a,56,66,58,66,57,26,33,30
ML00257a,15,11,16,13,12,8,13,13
ML00258a,177,163,198,176,266,166,152,157
ML00259a,1,0,0,0,1,0,0,0
ML002610a,40,100,75,76,79,23,48,44
ML002611a,84,99,108,67,82,97,65,65
ML002612a,240,226,257,182,207,210,156,213
ML002613a,154,194,195,187,227,149,143,104
ML002614a,87,97,137,101,153,108,76,76
ML002615a,89,32,71,30,86,58,27,47
ML002616a,297,220,229,163,349,211,167,211
ML002617a,333,462,567,578,309,269,370,318
ML002618a,20,26,34,24,9,13,11,7
ML002619a,613,836,864,1071,283,382,269,267
ML00261a,258,275,243,324,203,318,238,220
ML002620a,1174,1677,1407,1345,1110,600,501,862
ML002621a,1,5,4,0,0,0,0,0
ML002622a,401,379,376,397,337,486,564,390
ML002623a,0,0,0,0,0,0,0,0
ML002624a,830,883,835,819,1314,999,886,1058
ML002625a,0,0,0,0,0,0,0,0
ML002626a,169,179,177,170,139,158,162,183
ML002627a,927,772,835,744,607,702,570,600
ML002628a,0,0,0,0,0,0,0,0
ML002629a,112,123,155,118,104,95,107,87
ML00262a,130,129,120,116,162,99,118,120
ML002630a,73,99,68,72,128,72,96,84
ML002631a,41,71,57,64,35,51,44,56
ML002632a,3,10,8,10,8,3,5,4
ML002633a,13,18,16,26,1,10,9,10
ML002634a,66,93,93,75,58,65,70,49
ML002635a,94,98,109,85,37,91,62,74
ML002636a,575,541,578,478,617,432,415,443
ML002637a,2245,2377,2345,2223,2712,1952,1614,1719
ML002638a,3645,3537,4065,3048,3970,3739,2857,3683
ML002639a,28,88,74,138,55,59,61,48
ML00263a,38,36,65,84,87,54,110,72
ML002640a,72,213,196,318,177,152,157,111
ML002641a,469,559,541,584,358,436,358,456
ML002642a,0,0,0,1,0,0,0,1
ML00264a,647,974,882,807,822,679,846,804
ML00265a,349,422,397,342,575,317,300,282
ML00266a,1485,783,1051,691,1099,994,556,737
ML00267a,260,614,453,577,388,215,354,265
ML00268a,54,58,63,88,30,45,48,54
ML00269a,994,1883,2228,2051,458,394,932,606
ML00271a,1,1,0,0,0,0,0,0
ML002810a,65,103,75,85,87,76,61,69
ML002811a,297,297,336,180,222,221,119,180
ML002812a,420,417,348,357,574,339,256,328
ML002813a,158,109,131,93,212,165,105,127
ML002814a,0,0,0,0,0,0,0,0
ML00281a,0,0,0,0,5,3,1,1
ML00282a,19,28,52,21,19,15,20,18
ML00283a,5,5,2,4,50,47,65,46
ML00284a,262,224,252,249,371,173,210,164
ML00285a,376,271,316,233,534,374,229,243
ML00286a,485,492,545,493,486,484,411,409
ML00287a,737,747,844,741,887,676,669,647
ML00288a,140,86,98,115,176,95,63,101
ML00289a,91,54,59,51,170,88,50,79
ML00291a,477,543,631,655,348,276,307,256
ML00292a,195,301,295,403,132,168,196,203
ML00293a,393,368,415,408,640,348,314,353
ML00294a,113,89,93,89,141,80,77,87
ML00295a,232,228,261,291,209,220,186,188
ML003010a,276,185,258,272,96,159,198,260
ML003011a,253,274,307,301,342,250,204,238
ML003012a,173,200,249,174,181,181,159,156
ML003013a,349,450,458,413,378,410,303,304
ML003014a,219,344,332,279,329,264,253,212
ML003015a,30,24,57,17,1600,352,636,644
ML003016a,607,573,581,485,808,480,376,474
ML003017a,533,611,660,448,459,252,320,409
ML003018a,515,231,426,251,414,351,205,260
ML003019a,224,243,235,213,59,264,185,200
ML00301a,311,392,447,379,304,307,316,338
ML003020a,490,161,427,350,3202,1534,2102,2793
ML003021a,94,194,134,210,133,83,92,94
ML003022a,90,68,72,20,177,97,142,169
ML003023a,111,102,115,155,247,84,163,115
ML003024a,29,23,32,101,37,20,56,7
ML003025a,155,294,127,273,325,142,376,312
ML003026a,36,135,48,43,46,23,30,24
ML00302a,5,6,0,2,1,1,3,1
ML00303a,5104,7448,8499,6835,7662,4444,4160,4959
ML00304a,405,327,418,361,473,312,281,337
ML00305a,379,282,244,229,299,249,154,309
ML00306a,151,136,163,117,152,109,110,115
ML00307a,45,51,52,34,36,21,40,63
ML00308a,0,0,0,0,0,0,0,0
ML00309a,628,710,648,652,601,585,575,581
ML003210a,0,1,0,0,2,0,0,1
ML003211a,174,135,129,113,138,175,85,137
ML003212a,207,217,224,142,171,241,113,162
ML003213a,0,0,0,0,0,0,0,0
ML003214a,477,445,492,389,366,391,302,404
ML003215a,112,185,134,94,198,73,110,95
ML003216a,236,256,251,188,169,159,150,237
ML003217a,50,80,46,74,56,61,33,58
ML003218a,291,245,249,279,283,221,214,234
ML003219a,330,239,279,357,431,324,338,285
ML00321a,0,0,0,0,0,0,0,0
ML003220a,72,54,55,133,2053,625,1596,1474
ML003221a,1,4,6,1,3,5,31,12
ML003222a,248,205,446,272,1087,977,1086,934
ML003223a,52,66,35,31,75,75,18,56
ML003224a,482,671,646,634,552,454,626,588
ML003225a,11288,13793,13958,14084,9437,8622,9287,9050
ML003226a,786,843,821,729,1062,697,627,630
ML003227a,299,258,210,202,513,230,189,257
ML003228a,1216,1065,1165,1003,687,816,704,827
ML003229a,268,229,266,189,231,176,143,174
ML00322a,63,114,119,94,94,68,57,76
ML003230a,55,55,56,62,130,33,56,40
ML003231a,90,98,81,97,88,67,106,81
ML003232a,0,0,0,0,0,0,0,0
ML003233a,868,940,893,478,1099,618,595,916
ML003234a,231,245,181,185,277,176,179,233
ML003235a,3,2,1,0,8,2,1,2
ML003236a,34,126,43,56,4,23,46,26
ML003237a,214,347,312,386,75,142,108,138
ML003238a,2637,3220,3615,4093,1180,1278,975,1221
ML003239a,766,579,783,747,498,424,204,383
ML00323a,3,8,6,4,4,8,4,1
ML003240a,740,900,880,749,470,631,500,543
ML003241a,0,0,0,0,0,0,0,0
ML003242a,692,835,866,685,817,709,599,607
ML003243a,102,143,162,179,28,32,34,34
ML003244a,416,697,329,189,279,74,127,112
ML003245a,686,584,870,638,549,663,684,676
ML003246a,51,64,59,94,15,26,22,35
ML003247a,0,0,1,0,5,2,0,1
ML003248a,141,161,131,159,343,323,227,198
ML003249a,419,381,427,438,475,335,316,387
ML00324a,0,0,1,0,0,2,0,0
ML003250a,638,724,670,764,899,621,602,599
ML003251a,272,321,360,299,503,264,253,278
ML003252a,672,792,681,782,941,545,579,641
ML003253a,975,1080,1122,1369,826,801,960,908
ML003254a,0,0,0,0,0,0,0,0
ML003255a,9,3,10,4,6,9,6,8
ML003256a,1590,1219,1250,1055,1369,1099,1064,986
ML003257a,677,426,531,357,170,490,296,355
ML003258a,406,282,386,219,109,377,164,215
ML003259a,247,196,252,188,304,195,140,200
ML00325a,28,16,29,26,25,37,16,19
ML003260a,208,224,240,164,267,173,152,202
ML003261a,2211,1882,1883,1945,2296,2099,1676,1394
ML003262a,4,7,0,0,1,0,0,2
ML003263a,0,1,0,0,0,0,0,0
ML003264a,1,0,1,0,3,0,0,2
ML003265a,427,919,719,769,438,349,350,398
ML003266a,403,425,614,581,360,260,353,313
ML003267a,346,237,244,175,263,316,200,235
ML003268a,179,149,143,123,164,126,100,132
ML003269a,0,0,1,2,7,8,1,1
ML00326a,88,120,117,154,73,111,122,102
ML003270a,251,254,327,222,321,265,178,236
ML003271a,307,198,241,164,333,269,190,218
ML003272a,2696,2121,2242,2221,3109,2434,1754,1924
ML003273a,0,0,0,0,0,1,0,0
ML00327a,480,551,580,732,472,369,575,442
ML00328a,4,0,0,0,3,1,1,3
ML00329a,91,113,110,154,87,69,75,83
ML003310a,126,158,142,126,205,96,108,82
ML003311a,45,100,40,3,25,2,16,49
ML003312a,40,26,28,27,23,29,29,27
ML003313a,261,287,280,253,200,232,180,212
ML00331a,152,205,155,137,107,125,157,131
ML00332a,1051,1105,1338,1103,736,770,700,576
ML00333a,166,125,162,106,170,161,107,149
ML00334a,1017,993,1139,1089,1563,983,902,919
ML00335a,602,673,764,673,441,718,660,716
ML00336a,329,384,401,284,409,334,268,299
ML00337a,264,133,175,137,75,186,114,120
ML00338a,759,582,778,699,729,707,527,623
ML00339a,3089,4271,4167,3354,4471,2924,2457,2815
ML00341a,413,676,559,608,313,242,431,399
ML00342a,7,17,17,7,26,46,29,27
ML003510a,1656,1709,1873,1573,2278,1323,1567,1655
ML003511a,669,711,693,623,740,511,551,521
ML003512a,535,551,605,477,694,500,437,484
ML003513a,127,67,118,86,148,80,107,127
ML003514a,986,1301,1473,1750,563,648,684,582
ML003515a,62,36,32,25,20,35,32,39
ML003516a,0,0,0,0,0,0,1,0
ML003517a,327,880,554,151,27,14,19,28
ML003518a,109,276,100,106,338,157,114,113
ML003519a,164,179,134,130,239,172,235,171
ML00351a,289,296,324,263,302,231,267,234
ML00352a,0,0,0,0,0,0,0,0
ML00353a,218,272,285,267,217,194,177,183
ML00354a,0,0,0,0,0,0,0,0
ML00355a,3449,6365,3078,3423,3052,3104,1625,2998
ML00356a,74,123,279,162,43,40,28,13
ML00357a,285,807,1014,589,449,228,156,185
ML00358a,3169,3440,3431,3434,3272,2504,2529,2505
ML00359a,312,350,342,307,354,267,270,252
ML003610a,291,195,283,245,178,213,127,212
ML003611a,0,0,0,0,0,0,0,0
ML003612a,1,2,10,9,2,5,5,7
ML003613a,509,664,623,837,416,383,403,399
ML003614a,578,490,550,524,634,523,462,423
ML003615a,301,277,319,279,313,247,241,243
ML003616a,7,2,0,3,3,0,1,4
ML003617a,1,2,2,1,1,2,0,2
ML00361a,246,358,319,378,190,113,161,159
ML00362a,4,32,52,46,12,37,44,3
ML00363a,1583,1591,2009,1719,1346,1495,1225,1417
ML00364a,783,799,1010,795,1130,790,719,666
ML00365a,8524,10342,11103,9428,16766,7357,7083,8126
ML00366a,540,211,341,237,233,252,162,206
ML00367a,160,128,195,159,256,107,149,125
ML00368a,10,3,3,9,17,13,24,16
ML00369a,3,5,6,1,1,0,0,4
ML00371a,5,0,0,0,0,2,0,2
ML00372a,121,11,24,82,31,301,314,871
ML00381a,5,23,2,7,3,11,8,7
ML00382a,11,14,8,2,2,0,1,0
ML00383a,1520,1995,2014,2037,1775,1336,1367,1336
ML00384a,325,232,222,217,218,157,176,167
ML00391a,52,19,22,32,36,24,42,25
ML00392a,511,349,470,261,619,383,250,412
ML00393a,11,11,22,12,18,13,13,16
ML00394a,116,96,113,71,84,74,42,76
ML00395a,24,71,61,32,30,20,21,26
ML00401a,387,399,425,425,269,343,472,317
ML00402a,1844,2318,2201,1578,2583,1847,1269,1769
ML00403a,573,97,273,94,355,339,95,221
ML00404a,95,95,81,75,68,111,133,98
ML00405a,1052,514,730,492,574,699,331,526
ML00406a,73,110,83,65,39,94,85,80
ML00411a,470,306,353,261,302,338,250,257
ML00412a,2258,1905,2071,3081,2893,663,760,1169
ML00413a,57,33,33,54,639,770,643,441
ML00414a,301,311,323,374,261,236,265,208
ML00415a,108,86,99,112,56,91,69,66
ML00421a,324,238,189,261,276,268,217,236
ML00422a,1853,2405,2229,2468,1449,1341,1475,1585
ML00423a,92,186,119,85,146,58,93,74
ML00424a,785,681,374,664,620,542,683,773
ML00425a,0,0,0,0,0,0,0,0
ML00426a,1007,590,846,548,1036,830,560,712
ML00427a,132,212,165,143,223,126,163,166
ML00428a,0,0,0,0,0,0,0,0
ML004410a,69,74,69,48,62,61,49,63
ML004411a,295,292,240,312,225,188,160,226
ML004412a,677,1128,1137,894,925,820,658,653
ML004413a,645,1394,1094,1303,881,741,1080,974
ML004414a,6,11,4,6,6,5,7,7
ML004415a,23,29,18,13,391,1274,1326,765
ML004416a,448,461,475,374,250,303,286,332
ML004417a,418,461,633,530,490,434,451,362
ML004418a,119,129,133,119,183,135,92,119
ML004419a,221,179,216,161,223,202,117,167
ML00441a,267,423,341,278,180,162,221,230
ML004420a,290,253,379,293,341,317,205,243
ML004421a,16,16,9,13,56,27,37,40
ML004422a,64,30,56,46,17,51,29,37
ML004423a,0,0,0,0,0,0,0,0
ML004424a,0,0,0,0,0,0,0,0
ML004425a,462,434,409,293,524,395,273,328
ML004426a,32,52,64,29,13,31,29,25
ML004427a,6,5,7,2,0,2,1,3
ML004428a,81,75,92,51,17,60,42,54
ML004429a,0,3,3,0,0,0,0,0
ML00442a,6,2,5,0,1,2,1,3
ML004430a,10,14,16,7,2,2,3,8
ML004431a,270,330,281,106,444,206,175,242
ML004432a,0,0,2,0,5,4,5,2
ML004433a,0,0,0,0,0,0,0,0
ML004434a,42,49,77,48,9,40,25,19
ML004435a,268,198,227,137,287,226,131,148
ML004436a,30,29,35,25,29,14,18,25
ML004437a,748,625,607,474,651,553,447,533
ML004438a,1398,1566,1476,1424,868,1012,1063,970
ML004439a,10,9,10,2,1,6,4,4
ML00443a,36,36,48,64,10,27,34,20
ML004440a,4,2,4,3,0,4,3,0
ML004441a,966,1275,1181,1312,722,717,832,700
ML004442a,18,50,9,14,14,18,22,25
ML004443a,3253,4887,4039,4459,4151,3294,3197,3136
ML00444a,62,44,36,22,30,23,21,39
ML00445a,291,259,342,220,277,199,143,191
ML00446a,9,15,15,22,2,2,1,2
ML00447a,106,256,151,217,80,91,123,91
ML00448a,191,227,168,160,163,148,132,135
ML00449a,307,269,314,265,260,225,134,207
ML004510a,212,81,38,201,24068,31856,54522,69484
ML004511a,997,1601,1139,1540,973,682,946,917
ML004512a,0,0,0,0,0,0,0,0
ML004513a,606,671,891,621,1101,708,530,621
ML004514a,592,589,537,604,403,385,469,509
ML004515a,308,319,304,326,65,199,176,239
ML004516a,52,68,64,72,45,47,55,40
ML00451a,482,506,514,450,316,380,375,330
ML00452a,93,131,84,126,107,79,102,91
ML00453a,115,87,123,63,74,64,54,76
ML00454a,27,14,19,11,10,15,13,16
ML00455a,631,1042,1165,978,564,307,414,427
ML00456a,2,3,2,3,2,1,2,0
ML00457a,71,46,53,12,50,43,22,57
ML00458a,133,279,243,301,120,121,129,138
ML00459a,57,57,90,101,46,15,29,33
ML004610a,490,522,543,588,273,459,347,428
ML004611a,30,108,12,13,0,7,5,34
ML004612a,2,3,0,3,0,39,0,0
ML004613a,35,25,24,14,40,47,24,44
ML004614a,366,121,177,111,129,263,99,253
ML00461a,165,132,119,97,174,112,80,87
ML00462a,476,557,684,448,609,476,373,472
ML00463a,241,277,293,244,347,237,211,209
